text	label
I wanna start by saying thank you I'm gonna miss ya, honey You gave me things I can’t buy back with money You changed my life You've been my world There's no other girl that looks like ya, darling Those eyes, that tongue, those teeth, that face, that body Even though we’ve gone to outer space Still no way you can take his place You're not him (No) Yeah, she's not him No matter what you say No matter what you do I just can't fall in love with you 'Cause you're not him (No) Yeah, she's not him And why, why can't I love you, baby? Like I wanna love you, baby I’m sorry And maybe it’s beyond my control Some sort of chemical reaction Making it impossible to let him go  You're not him She’s not him No matter what you say No matter what you do I just can't fall in love with you 'Cause you're not him Yeah, she’s not him And you don't deserve All the bullshit I've put you through And you, you deserve A heart much bigger than one that's torn in two Oh, oh You're not him (Whoa) She's not him Every time you walk through my door I swear to God you're more beautiful than before But you're not him No matter what you say No matter what you do I just can't fall in love with you 'Cause you're not him Yeah, she's not him	0
I wanna set off alarms, deal out the cards Smoke Cuban cigars and get kicked outta bars before two But only if it's with you I wanna drive down to Texas, flip off my exes Get kind of reckless and have wild, wild, wild sex under the moon But only if it's with you I got some baggage, let's do some damage I am not made for no horsey and carriage You know I'm savage, but you're looking past it I want that late-night sweet magic, that forever-lasting love But only if it's with you Let's crash a wedding tonight, get drunk by the lights Then I'll pick a fight to make up on the floor of your room But only if it's with you I wanna cut off my hair and kick off my boots Dance in the wind just to do it again, oh, it's true But only if it's with you, oh I got some baggage, let's do some damage I am not made for no horsey and carriage You know I'm savage, but you're looking past it I want that late-night sweet magic, that forever-lasting— I'm kind of crazy 'cause that's how you make me I don't need Jesus, 'cause, baby, you saved me, I'm done But only if it's with you, oh  You Only with you You Only with you, yeah You Only with you You Only with you	0
(Sha, sha, sha) I probably shouldn't say this, but at times, I get so scared When I think about the previous relationship we shared It was awesome, but we lost it It's not possible for me not to care And now we're standin' in the rain But nothing's ever gonna change until you hear, my dear The seven things I hate about you The seven things I hate about you, oh, you You're vain, your games, you're insecure You love me, you like her You make me laugh, you make me cry I don't know which side to buy Your friends, they're jerks When you act like them, just know it hurts I wanna be with the one I know And the seventh thing I hate the most that you do You make me love you It's awkward and silent, as I wait for you to say But what I need to hear now, your sincere apology When you mean it, I'll believe it If you text it, I'll delete it Let's be clear (Clear, clear) Oh, I'm not comin' back You're taking seven steps here  The seven things I hate about you You're vain, your games, you're insecure You love me, you like her You make me laugh, you make me cry I don't know which side to buy Your friends, they're jerks When you act like them, just know it hurts I wanna be with the one I know And the seventh thing I hate the most that you do You make me love you And compared to all the great things That would take too long to write I probably should mention the seven that I like The seven things I like about you Your hair, your eyes, your old Levi's When we kiss, I'm hypnotized You make me laugh, you make me cry But I guess that's both I'll have to buy Your hand in mine When we're intertwined, everything's alright I wanna be with the one I know And the seventh thing I like the most that you do You make me love you (Sha, sha) You do, oh Ooh-ooh-ooh-ooh Ooh-ooh-ooh (La, la, la, la) Ooh-ooh-ooh-ooh Ooh-ooh-ooh	0
I'm on an island, dirty dancin' in the sun So close to heaven, but so far from everyone Yeah, I've got treasures buried underneath the sand But I'm still wishing for the love that I don't have Mama told me, "Girl, smoke 'em if you got 'em" Left my lighter back at home with all my problems So I'm sittin' here wonderin' all day long Am I stranded (Am I stranded) On an island? (On an island) Or have I landed (Have I landed) In paradise? Am I stranded (Am I stranded) On an island? (On an island) Or have I landed in paradise? I can paint my toenails whilе I'm soakin' up the sea The only thing that's missing hеre is you and our TV And I won't lie, it sure gets lonely here at night But no one here needs nothin' from me, and it's kind of nice  Mama told me, "Girl, smoke 'em if you got 'em" Left my lighter back at home with all my problems So I'm sittin' here wondering all day long Am I stranded (Am I stranded) On an island? (On an island) Or have I landed (Have I landed) In paradise? Am I stranded (I've been missin' you, babe) On an island? (Your hands on my face) Or have I landed (You're my) In paradise? I hear your voice like a song on the radio All day along, 'cause, boy, I be missin' you I hear your voice like a song on the radio, ah I hear your voice like a song on the radio (Am I) All day along, 'cause, boy, I be missin' you (Am I) I hear your voice like a song on the radio, ah Am I stranded on an island? Or have I landed in paradise? Am I stranded (I'm missin' you, babe) On an island? (Your hands on my face) Or have I landed (You're my) In paradise? Am I stranded (I hear your voice like a song on the radio) On an island? (All day along, 'cause, boy, I've been missin' you) Or have I landed (I hear your voice like a song on the radio, ah) In paradise? Am I stranded (I hear your voice like a song on the radio) On an island? (All day along, 'cause, boy, I've been missin' you) Or have I landed (I hear your voice like a song on the radio, ah) In paradise? Am I stranded (I hear your voice like a song on the radio) On an island? (All day along, 'cause, boy, I've been missin' you) Or have I landed (I hear your voice like a song on the radio, ah) In paradise? Am I stranded on an island? Or have I landed	0
[Intro] The weekend's almost done The moon is low in the sky I feel like goin' out Before the night passes by, I won't just sit around When life becomes a drag I dance [Verse ] I like the bass (Turn it up, turn it up, turn it up) I like the boom (Turn it up, turn it up, turn it up) I need guitar (Turn it up, turn it up, turn it up) I like that drum when it goes Boom da-boom da-bum [Chorus] Let's dance What the weekend, what the night is all about Let's dance Grab your girlfriends, grab your boyfriends, sweat it out Let's dance Move your whole body, and let's start the party Too much rock for one girl can make her go crazy I need somebody to dance with me, baby (Dance) [Verse ] The music's on (Turn it up, turn it up, turn it up) My favorite song (Turn it up, turn it up, turn it up) The beat is strong (Turn it up, turn it up, turn it up) We'll dance C'mon! (Ow) [Chorus] Let's dance What the weekend, what the night is all about Let's dance Grab your girlfriends (Oh, yeah), grab your boyfriends, sweat it out Let's dance Move your whole body, and let's start the party Too much rock for one girl can make her go crazy I need somebody to dance with me, baby (Dance) [Bridge] Keep movin' Back it up Yeah When the night says hello Yeah, get ready to go Turn it up, turn it loose Yeah, you got no excuse Just take a chance (Just take a chance) Get out on the floor and dance (Let's dance) [Chorus] Let's dance What the weekend, what the night is all about (Dance with me) Let's dance Grab your girlfriends, grab your boyfriends, sweat it out Let's dance (Let's dance) And let's start the party (Dance with me, dance with me) (Dance with me, dance) [Chorus] Let's dance (Let's dance) What the weekend, what the night is all about (Is all about) Let's dance Grab your girlfriends, grab your boyfriends, sweat it out Let's dance Move your whole body, and let's start the party As soon as my album goes number one Mr. Lind, I'd like a Rolex with forty diamonds (Ha)	0
You are everything to me And I, I would die for you There've been times where I'm up all night Crying in the dark, so I sleep with the light on I've heard I've got words like a knife That I don't know how to choose just so wisely But I see trees and their colored leaves When I think about all that we could be When you're gone, time moves so slow Like the grass, I've watched us grow I've heard you reap only what you'll sow How could I never let you know? That you are everything to me You're sweeter than candy And better than any childhood dreams I am yours and you are mine I have your heart, I don't even need a ring I'd give up all I have in exchange For who I love more than anything When you're gone, time moves so slow Like the grass, I've watched us grow I've heard you reap only what you'll sow How could I ever let you know?  'Cause you, you're everything to me And I, I would die for you Yeah, I would die for you When you're gone time, moves so slow (I would die for you) Like the grass, I've watched us grow (I would die) I've heard you reap only what you'll sow (I would die for you) How could I never let you know I would die for you?	0
Round and 'round and away we go 'Round and 'round and away we go Four-by-four and away we go High, not low, and away we go 'Round and 'round and away we go And away we go and away we go Four-by-four and away we go High, not low, and away we go I'm a female rebel, can't you tell? Bang on the dashboard, just chipped a nail Lean out the window, that's when I yell Drivin' so fast, 'bout to piss on myself Drivin' so fast, 'bout to piss on myself Police wanna get him and put him in jail I'ma do whatever to get him his bail Hooked on donuts and rooster tails I'm in that passenger seat, ridin' high in the air And we're drivin' fast 'til we plumb outta gas, let's go 'Round and 'round and away we go 'Round and 'round and away we go Four-by-four and away we go High, not low, and away we go 'Round and 'round and away we go And away we go and away we go Four-by-four and away we go High, not low, and away we go  I'm a female rebel, can't you see? Ridin' 'round your backyard, who could it be? Pullin' on the steerin' wheel, wrapped 'round the seat Pumpin' his breaks to the sound of the beat Pumpin' his breaks to the sound of the beat He don't understand what he's doin' to me Deep down inside, like a pitbull in heat Someone's comin', so we head for the streets I'm in that passenger seat, flyin' high in the air And we're drivin' fast 'til we plumb outta gas, let's go (Oh) 'Round and 'round and away we go (Yeah) 'Round and 'round and away we go Four-by-four and away we go High, not low, and away we go (Woo) 'Round and 'round and away we go And away we go and away we go Four-by-four and away we go High, not low, and away we go It's twelve o'clock and I don't want to party My big boyfriend and my big truck hobby A little bit of dirt never hurt nobody Now I got dirt all over my body Might as well lie to L His big fog lights is bright as hell Calls the law, he starts to yell (Mm, yeah) He hits the gas, so I grab the rail Sure you wanna ride with me? If you scared, don't lie to me I'm a crazy motherfucker from the Midwest With a Mississippi flow and a Arch rest Four-by-four with the altar steps We doin' donuts underneath the arch (Yes) I need a chick on time, don't mind bein' early A ride-or-die, dollar six-thirty A straight-up chick like twelve o'clock "I don't know where he at," that's what she tell the cops Take a stand for a nigga, raise a hand for a nigga "I solemnly swear he was with me all day" To the judge, "He the one I love" Hell, they could tell, she don't even budge 'Round and 'round we go Don't stop 'til I tell you so I'm in that passenger seat, flyin' high in the air And we're drivin' fast 'til we plumb outta gas, let's go (Yeah) 'Round and 'round and away we go 'Round and 'round and away we go Four-by-four and away we go High, not low, and away we go 'Round and 'round and away we go And away we go and away we go Four-by-four and away we go High, not low, and away we go I'm a female rebel, can't you tell? Ooh, can't you tell? Ooh, can't you tell? I'm a female rebel, ooh, can't you tell? Ooh, can't you tell? Ooh, can't you tell?	0
Evil is but a shadow that always accompanies the good You can try to have a world, a world without the shadow But it will be a dark, dark and hopeless world 'Cause it would be a world, a world without light too Ooh-ooh-ooh-ooh The light of nature The light of the true The light of silence The light of all I do The brighter it shines from the mountain The more evil hides in its hole And try so hard to defeat us A world starting to lose your control Ooh-ooh-ooh-ooh -Trol, lose your control -Trol, lose your control -Trol, lose your control -Trol, lose your control We won't stop We'll let this acid drop How'd it get to be so obvious? I'll have fun We won't stop We'll let it fucking drop We won't stop, oh I'll have fun  Evil is but a shadow A shadow in this world Evil is but a shadow A shadow in this world Evil is but a shadow A shadow in this world	0
I've been stranded on a lonely street Got lost in the shadows Fell hard in the battle Heard cries and the suffering Walked through the darkness Left broken and heartless I'm calling out, can you hear my voice? (Voice) I'm gonna find you through all the noise (Whoa) You know there's nothing that I wouldn't do (Whoa) Shine your light as I reach for you My heart beats for love My heart beats for love It's the sound that I hear, tells me not to give up It breathes in my chest and it runs through my blood My heart beats for love My heart beats for love Whoa, oh-oh, yeah I've been told at least a thousand times "It's not worth the struggle, the hurt or the trouble" I keep running up to these front lines No, I won't surrender I'll wait here forever  Standing here with my flag held high (Whoa) Can't you see that it's worth the fight? My heart beats for love My heart beats for love It's the sound that I hear, tells me not to give up It breathes in my chest and it runs through my blood My heart beats for love My heart beats for love Whoa, oh-oh, yeah I've marched across this battlefield I'm screaming out, can you hear me now? I'm holding on, I stand my ground I'm screaming out, can you hear me now? My heart beats for love My heart beats for love It's the sound that I hear, tells me not to give up It breathes in my chest and it runs through my blood My heart beats for love My heart beats for love My heart beats for love My heart beats for love It's the sound that I hear, tells me not to give up It breathes in my chest, it runs through my blood My heart beats for love My heart beats for love My heart beats for love, for love	0
We clawed, we chained our hearts in vain We jumped, never asking why We kissed, I fell under your spell A love no one could deny Don't you ever say I just walked away I will always want you I can't live a lie, running for my life I will always want you I came in like a wrecking ball I never hit so hard in love All I wanted was to break your walls All you ever did was wreck me Yeah, you, you wreck me I put you high up in the sky And now, you're not coming down It slowly turned, you let me burn And now, we're ashes on the ground Don't you ever say I just walked away I will always want you I can't live a lie, running for my life I will always want you  I came in like a wrecking ball I never hit so hard in love All I wanted was to break your walls All you ever did was wreck me I came in like a wrecking ball Yeah, I just closed my eyes and swung Left me crashing in a blazing fall All you ever did was wreck me Yeah, you, you wreck me I never meant to start a war I just wanted you to let me in And instead of using force I guess I should've let you win I never meant to start a war I just wanted you to let me in I guess I should've let you win Don't you ever say I just walked away I will always want you I came in like a wrecking ball I never hit so hard in love All I wanted was to break your walls All you ever did was wreck me I came in like a wrecking ball Yeah, I just closed my eyes and swung Left me crashing in a blazing fall All you ever did was wreck me Yeah, you, you wreck me Yeah, you, you wreck me	0
